GEO.id,FIPS,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
1500000U,370919501001,3.7092E+11,"Block Group 1, Census Tract 9501, Hertford County, North Carolina",835,193,17,25,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,50,45,16,26,1,2,20,29,23,37,92,63,16,24,74,63,251,114,81,62,81,72,92,54,0,12,21,32
1500000U,370919501002,3.7092E+11,"Block Group 2, Census Tract 9501, Hertford County, North Carolina",513,238,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,29,44,124,125,0,12,154,134,15,22,14,17,106,101,6,10,51,40,8,12,0,12,6,10
1500000U,370919501003,3.7092E+11,"Block Group 3, Census Tract 9501, Hertford County, North Carolina",1059,165,5,9,0,12,0,12,0,12,0,12,0,12,0,12,0,12,8,13,0,12,0,12,31,32,5,9,68,46,10,16,264,103,41,35,83,47,172,75,114,59,127,62,50,38,25,18,56,36
1500000U,370919501004,3.7092E+11,"Block Group 4, Census Tract 9501, Hertford County, North Carolina",426,94,0,12,0,12,0,12,0,12,0,12,0,12,5,9,0,12,0,12,13,15,28,35,0,12,0,12,6,9,5,9,40,32,12,13,13,14,80,39,31,24,140,79,39,27,0,12,14,18
1500000U,370919501005,3.7092E+11,"Block Group 5, Census Tract 9501, Hertford County, North Carolina",547,188,0,12,0,12,0,12,0,12,0,12,0,12,10,22,0,12,0,12,0,12,36,48,0,12,0,12,0,12,0,12,196,118,0,12,42,36,183,120,14,20,47,42,0,12,0,12,19,29
1500000U,370919501006,3.7092E+11,"Block Group 6, Census Tract 9501, Hertford County, North Carolina",706,178,0,12,0,12,0,12,0,12,3,6,0,12,0,12,21,35,0,12,0,12,104,95,0,12,53,52,9,12,0,12,176,106,0,12,24,39,204,109,58,68,3,6,51,56,0,12,0,12
1500000U,370919502001,3.7092E+11,"Block Group 1, Census Tract 9502, Hertford County, North Carolina",920,197,0,12,0,12,0,12,0,12,0,12,3,5,24,31,0,12,0,12,0,12,12,17,44,28,65,58,83,75,12,16,218,93,0,12,103,64,193,115,48,38,65,53,50,35,0,12,0,12
1500000U,370919502002,3.7092E+11,"Block Group 2, Census Tract 9502, Hertford County, North Carolina",957,188,24,18,3,5,0,12,1,2,0,12,0,12,3,6,4,6,28,30,1,3,32,32,25,20,54,56,12,11,55,51,306,104,8,12,61,47,190,58,66,35,31,15,53,38,0,12,0,12
1500000U,370919502003,3.7092E+11,"Block Group 3, Census Tract 9502, Hertford County, North Carolina",2386,553,10,13,0,12,0,12,0,12,3,5,10,12,7,7,28,38,20,22,10,16,22,19,71,42,191,92,36,20,26,17,702,233,432,179,117,44,356,118,113,46,156,63,55,44,19,20,2,3
1500000U,370919502004,3.7092E+11,"Block Group 4, Census Tract 9502, Hertford County, North Carolina",713,135,4,4,2,3,0,12,0,12,0,12,0,12,0,12,0,12,1,2,0,12,19,12,46,36,29,14,11,9,2,3,195,66,43,21,43,20,101,45,92,31,98,58,25,13,2,5,0,12
